first,tempo,scale,chroma_stft,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,rmse,dance,percentile_10,percentile_90,dynam_comp
0,120,0,0.5242230296134949,0.02090083178468962,2664.667200896058,1377.477060749791,2075.300853568035,0.1413934379816055,1.263132810592651,141.7299530029297,177.5566223144531,2.041164875030518
1,80,0,0.3991244733333588,0.02008131211475068,1838.009453427528,1059.352221343958,1567.919731875113,0.08247727900743483,1.07525360584259,43.94010162353516,122.457088470459,3.658321142196655
2,140,0,0.4764842092990875,0.02518496804629858,3248.409602295582,1561.987041096555,2167.434706960729,0.1204194948077202,0.9179509878158568,85.55699996948242,203.7702819824219,2.42132830619812
3,80,0,0.4575157165527344,0.01717298804977319,1790.779867516943,992.6798728230673,1563.519133665643,0.0847330391407013,1.073516845703125,36.81094360351562,122.9444351196289,4.127068996429443
4,140,0,0.4290754199028015,0.02329365195219744,2770.995125702265,1391.964632820489,1978.019340101686,0.1142948120832443,1.032217502593994,84.42430114746094,183.0684814453125,2.052952289581299
5,60,0,0.3656774759292603,0.01388126249744147,1444.598712701327,798.2202120014398,1301.749361600091,0.09149982035160063,1.058697581291199,38.33166999816896,226.1329208374024,3.738057613372801
6,100,0,0.3225551545619965,0.04152000845110943,5224.853740380466,2371.036870987,3015.835918339137,0.06655297428369522,0.9006149768829346,38.54652404785156,84.52450561523438,3.010493040084839
7,60,0,0.2769817113876343,0.01977398966693214,1618.331714768458,862.3288607506827,1189.540865942531,0.04365754127502442,0.9349925518035888,22.79689598083496,55.68616104125977,4.053680419921875
8,80,1,0.2599341869354248,0.02937256552452631,1924.202634398104,1131.346902645353,1595.440632024476,0.04754650965332985,0.99836403131485,24.59283676147461,54.64573822021485,3.535719156265259
9,100,0,0.3382982015609741,0.01427105980498732,619.4299654150198,467.9784599002634,746.1701919474796,0.1154471188783645,1.000707030296326,88.00051574707031,160.5050537109375,2.052939414978028
10,120,1,0.3638075292110443,0.01310852348249889,443.8129450158228,378.887509558741,687.0021143523225,0.1184458136558533,0.8785027861595154,87.66670227050781,169.7869567871094,2.971846342086792
11,140,0,0.3402204215526581,0.02702183526810393,1994.491040634949,1089.343760429779,1507.780207700626,0.05427902191877365,0.9369181990623474,26.39798011779785,66.81384887695313,3.729515552520752
12,60,1,0.3224422037601471,0.01470439089514368,862.3936890599185,602.0046841613251,1022.115602030391,0.07227621972560883,0.8276667594909668,26.76238021850586,122.1673828125,6.282441139221191
13,80,0,0.3462856709957123,0.02040843168075311,1480.944047544919,838.4822196452382,1156.130079686991,0.05620495975017548,0.9483044147491456,27.20608196258545,68.25321502685547,4.031813144683838
14,100,1,0.4545376896858215,0.01288165310619544,957.4494239936439,615.002879211243,1200.457462170815,0.04694107174873352,0.9664356112480164,23.47592926025391,60.18966293334961,3.010911226272583
15,120,0,0.4368788599967957,0.01660144891414519,1362.677080650588,743.3791179866722,1121.781765011601,0.07362081110477448,1.055144071578979,32.88588180541992,92.32781372070312,2.727652072906494
16,140,1,0.3582502901554108,0.0220645797563568,2015.789476373446,975.2745985687295,1273.866772822845,0.0570901595056057,0.9380112886428832,31.85526027679443,60.97988357543945,2.166317462921143
17,60,0,0.3144820034503937,0.02517037662371268,1925.256011590186,1088.851958260793,1461.727825413168,0.02761443704366684,0.9043920636177064,12.12197542190552,31.30822486877442,4.697643280029297
18,80,1,0.355268657207489,0.03595941355467513,2934.170101935331,1903.404634629739,2202.033716786995,0.04213084280490875,1.300996422767639,19.94911289215088,48.85718727111816,5.697769641876223
19,100,0,0.3060841858386993,0.04557959116474442,4387.087118459303,2320.864350092923,2710.243969030531,0.03080691210925579,0.9479678273200988,4.67022967338562,35.65952568054199,5.507674694061278
20,120,1,0.3164482414722443,0.01513854534072344,769.8139843463722,543.9864810253994,880.5704570285042,0.1068684533238411,0.9015337824821472,62.47501678466797,146.1405853271485,2.715318918228149
21,140,0,0.3774019181728363,0.0174743510390877,1006.084701763369,673.9710572449247,1164.226148886969,0.09445665776729584,1.069959044456482,75.71588516235352,116.7916030883789,2.471928596496582
22,60,1,0.3554359078407288,0.01636582279460706,874.1157973857727,611.9134625376596,1150.250352310825,0.06401220709085463,0.996957302093506,34.87521514892578,78.1998306274414,3.596279382705688
23,80,0,0.3734286725521088,0.01717255990438339,976.1106893827035,617.2223961449299,1089.94046792606,0.0743466317653656,1.007166504859924,47.74255828857422,88.25594253540041,3.214106798171997
24,100,1,0.3515562415122986,0.02141177154617629,1583.892328832258,912.2973634596702,1473.372279446748,0.07520221173763275,1.18329381942749,50.91879959106446,88.30724639892578,2.394240379333496
25,120,0,0.3313732445240021,0.02613067207172217,1832.259557038835,1124.163589691187,1703.079632206332,0.07784514129161835,0.8982749581336975,47.13796539306639,99.09166412353515,2.905186414718628
26,140,1,0.3339802920818329,0.02902228106032454,2947.352510517944,1572.982726710387,2253.557224259283,0.07893756031990051,1.095746040344239,48.54205703735352,103.9759292602539,2.735113382339477
27,60,0,0.2997243106365204,0.07544701908541195,6382.471785643055,3243.788046888077,3489.657975969064,0.03729962557554245,0.9606406092643738,6.496262168884277,48.43875198364258,6.168792247772218
28,80,1,0.306813508272171,0.01412592915854144,497.4489587810849,443.5795540320434,787.3957560008478,0.09052218496799468,0.913800060749054,64.4191993713379,130.3800323486328,3.223600387573242
29,100,0,0.3296475112438202,0.01471895221339238,649.9690094557195,490.0450763949593,813.6919228611508,0.1215775385499001,0.9162691235542296,87.15881576538088,174.4180725097656,2.297088623046875
30,120,1,0.4338723421096802,0.01214861372851351,703.1359746174053,428.6495090120991,707.3340628675255,0.1332512944936753,0.9216602444648744,86.08919525146484,199.431022644043,2.67624044418335
31,140,0,0.3984137773513794,0.0147875308523767,960.8939910239363,612.3477043663538,907.783352501517,0.1265808790922165,0.9306527376174928,90.25258407592771,173.4543991088867,3.297483444213867
32,60,1,0.3186820149421692,0.01064150065910239,607.2609447758574,482.3130177308778,894.0212306838882,0.08472055941820145,1.049088597297668,62.75039215087891,99.1778793334961,2.95027756690979
33,80,0,0.2991544008255005,0.01467461315205414,1186.195020768019,744.7112678244142,1156.552323485558,0.09375125914812088,0.9131105542182922,53.95852813720703,141.274380493164,3.214892148971558
34,100,1,0.3350452780723572,0.01794248781113677,3301.751497777676,1547.036915001675,2463.653061895116,0.1102996468544006,0.9075515866279602,73.42905960083006,157.7966796875,2.859524488449097
35,120,0,0.4076168835163117,0.01140474795057797,409.90797461928,336.9364587671135,780.1506333259086,0.1199469640851021,0.9941091537475586,87.17339935302735,164.297526550293,2.546704769134521
36,140,1,0.4378498494625092,0.01141919480409579,550.4144440812855,371.1214331394494,709.6598896090669,0.1051202043890953,1.032695531845093,64.91065673828126,139.3085693359375,2.41854453086853
37,60,0,0.2871655821800232,0.0130800211195835,469.4750120475641,447.0536950815342,853.0611553640538,0.06536706537008287,0.9634523391723632,42.26441497802735,82.14622421264649,3.573551416397095
38,80,1,0.3082953691482544,0.0145401407530403,631.8145290304852,552.1489842877327,961.8916658133653,0.09388083964586258,0.9700970649719238,66.80693359375,123.8140151977539,2.427590608596802
39,100,0,0.3599201738834381,0.02880452856025039,1825.664106511329,1231.586181067373,1590.204424317061,0.09744281321763992,0.8911166191101074,29.27216968536377,148.5746688842773,5.633543968200684
40,120,1,0.3250070512294769,0.03647809525030337,3968.130075080753,1964.153491354155,2535.333303396952,0.08174723386764526,0.8094934225082397,10.29073457717896,125.4640243530274,4.742029666900635
41,140,0,0.3235465586185455,0.02312176911324585,1462.736464480789,881.8124688200961,1218.820410418431,0.08692573010921477,0.7829895615577698,17.6052116394043,158.7736938476563,5.921391487121582
42,60,1,0.3522204458713531,0.01455201694836982,769.3380479139729,561.4701808323697,1047.614126155919,0.03414878994226456,0.9109660387039183,10.12742681503296,47.09220924377441,8.106303215026855
43,80,0,0.4424746036529541,0.01604452587961965,1245.598222652508,732.8011422542073,1332.317536155827,0.07293875515460968,1.01781415939331,39.22080230712891,98.8114242553711,3.24223780632019
44,100,1,0.4431685507297516,0.01704608758044103,1142.451107819852,662.2592079738217,1075.125026345502,0.06597014516592026,1.012148499488831,40.70758819580078,80.52162170410156,2.933605194091797
45,120,0,0.3995094299316406,0.01885113130900508,1462.455887170426,815.0313560449971,1248.564728513066,0.06960012018680573,0.902513325214386,28.20436782836914,102.4053649902344,3.649477481842041
46,140,1,0.337395578622818,0.02348002925165459,1935.704220853474,1006.689295617322,1386.58690005926,0.05487425625324249,1.078611612319946,34.95766410827637,56.52213439941406,2.659092903137207
47,60,0,0.3360719680786133,0.01794479354101065,1427.570658030359,836.9953653720245,1282.141080975093,0.0466017946600914,1.013723969459534,22.00841865539551,59.69860992431642,4.991701602935791
48,80,1,0.3270334005355835,0.04635643720995641,4297.704345703125,2144.482436325611,2544.334486487779,0.04580803588032722,0.9628225564956664,7.708585214614867,60.47201690673829,5.771110057830811
49,100,0,0.3283625543117523,0.01577982827255808,627.490719021402,522.8792886305929,836.5034133996103,0.1251794546842575,0.9499102234840392,83.20307235717773,192.7408309936524,2.723939657211304
50,120,1,0.3914570212364197,0.01567524957287863,893.5283858702934,594.8966529059933,985.5761931258122,0.1092610284686089,0.8894001841545105,69.53103256225586,167.7432708740234,3.278576850891113
51,140,0,0.376869946718216,0.01799533058575938,1221.686195379481,702.6666749761256,989.7645461174973,0.0881379172205925,0.790145993232727,34.10323791503907,176.4599884033203,4.824808597564697
