number,filename,tempo,scale,chromagram,zero_crossing_rate,spectral_rolloff,spectral_centroid,spectral_bandwidth,rmse,danceability,percentile_10,percentile_90,dynamic_comp
11,supercollider/SC_200329_160447.aiff,172.265625,0.0,0.34423434394443453,0.047845582889510095,3490.886596880621,1751.9395066887619,1821.9734428653187,0.09407445167299272,1.365198652133048,94.36072416631606,120.08616823637588,2.6254099887248166
12,supercollider/SC_200329_160753.aiff,86.1328125,1.0,0.31345852376333116,0.019186106116175078,1430.6474467787798,931.5429866069123,1120.6506927672629,0.1466820219374098,0.9502089221007608,95.7441039892468,295.0904661662961,5.331799868299592
13,supercollider/SC_200329_161137.aiff,107.666015625,0.0,0.35473387929671285,0.03245791960763242,2556.3118281037346,1329.6340830033466,1314.1739615534966,0.0997041564124656,1.4084489982382498,97.42853832108779,124.63683094241117,2.945879628855381
14,supercollider/SC_200329_162551.aiff,129.19921875,1.0,0.5421286283278357,0.014945071227402323,1603.633936217789,953.4244127136577,1378.184806538384,0.07262490528746786,1.4773200389288639,83.2676805857853,99.14331367956632,1.863608122619386
15,supercollider/SC_200329_163029.aiff,150.732421875,0.0,0.5115594805391794,0.023600064774076154,2341.0845466155224,1169.535585983381,1264.5733642933073,0.15061239411065566,1.8142776126574351,118.99088280341921,200.75045807355593,1.5633213810235542
16,supercollider/SC_200329_163318.aiff,172.265625,1.0,0.37544579609803463,0.036311343732701985,3529.6464006053907,1559.9131578968418,1484.1913366173771,0.10229168191680571,1.3693507342631075,115.07831245832764,101.64165477626467,0.9682432027038701
17,supercollider/SC_200329_163616.aiff,86.1328125,0.0,0.2996786445764685,0.043537722069598064,3364.8897316834627,1751.1115969075595,1755.4716162604432,0.016131260880482834,1.2416486813489458,40.164425070925034,7.832507804322248,3.651734883392535
18,supercollider/SC_200329_163950.aiff,107.666015625,1.0,0.3702843001302021,0.06864099381713347,5200.9547177260465,3122.34615136452,2824.5084733638732,0.05856413539060722,2.7481435758690687,69.87875288423938,63.31485240397767,4.711981949777579
19,supercollider/SC_200329_164903.aiff,129.19921875,0.0,0.2851412073739565,0.09102463513289102,7845.035207029678,3825.106333172097,3558.3882075882593,0.025463177889617723,1.4071704766291946,11.875204804291497,21.58946764959526,4.510459803732738
20,supercollider/SC_200329_165742.aiff,150.732421875,1.0,0.30308239339426135,0.02019627014634094,1262.1669429684368,833.8739625701537,916.2527827759495,0.24779850568972955,1.230791549200796,231.32074283566186,370.88352176583487,1.5502468420794544
